populacao,geracao,melhor_afinidade,media_afinidade
20,34,0.980000,0.917000
20,35,0.980000,0.906500
20,36,0.980000,0.917000
20,37,0.980000,0.916500
20,38,0.980000,0.885500
20,39,0.980000,0.922500
20,40,0.980000,0.884500
20,41,0.980000,0.904000
20,42,0.980000,0.905000
20,43,0.980000,0.883000
20,44,0.980000,0.926500
20,45,0.980000,0.898500
20,46,0.980000,0.902000
20,47,0.980000,0.946500
20,48,0.980000,0.899000
20,49,0.980000,0.920000
20,50,0.980000,0.920000
25,1,0.860000,0.766800
25,2,0.860000,0.793600
25,3,0.860000,0.793600
25,4,0.860000,0.785200
25,5,0.860000,0.778800
25,6,0.860000,0.807200
25,7,0.860000,0.783200
25,8,0.860000,0.808400
25,9,0.860000,0.782800
25,10,0.860000,0.794800
25,11,0.860000,0.789200
25,12,0.860000,0.800400
25,13,0.860000,0.810400
25,14,0.860000,0.781600
25,15,0.860000,0.789200
25,16,0.860000,0.782800
25,17,0.860000,0.800400
25,18,0.860000,0.802800
25,19,0.860000,0.793600
25,20,0.860000,0.804000
25,21,0.860000,0.802000
25,22,0.860000,0.773600
25,23,0.860000,0.807600
25,24,0.860000,0.800400
25,25,0.860000,0.782000
25,26,0.860000,0.807600
25,27,0.860000,0.800000
25,28,0.900000,0.814800
25,29,0.900000,0.810000
25,30,0.900000,0.824400
25,31,0.900000,0.835200
25,32,0.900000,0.803200
25,33,0.900000,0.833600
25,34,0.900000,0.843600
25,35,0.900000,0.844800
25,36,0.900000,0.813600
25,37,0.900000,0.838000
25,38,0.900000,0.858000
25,39,0.900000,0.827200
25,40,0.900000,0.858400
25,41,0.900000,0.839200
25,42,0.900000,0.857200
25,43,0.900000,0.849200
25,44,0.900000,0.836400
25,45,0.900000,0.858000
25,46,0.900000,0.852400
25,47,0.900000,0.848800
25,48,0.900000,0.830000
25,49,0.900000,0.806400
25,50,0.900000,0.826800
30,1,0.870000,0.795000
30,2,0.870000,0.807667
30,3,0.870000,0.810667
30,4,0.870000,0.821333
30,5,0.870000,0.832000
30,6,0.870000,0.860667
30,7,0.880000,0.841000
30,8,0.880000,0.826333
30,9,0.880000,0.833000
